"numero_ocorrencia","ano","mes","dia","rpm_2024","ueop_2024","cia_pm","pelotao","nome_municipio","nome_bairro","natureza_ocorrencia_descricao_longa","numero_envolvido","envolvimento_descricao","furto","roubo","extorsao","data_fato"
"2024-046205303-001",2024,10,14,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,SAO DIOGO,FURTO,2.0,SOLICITANTE,0,0,0,"2024-10-14"
"2024-046196079-001",2024,9,18,"15 RPM","19 BPM","232 CIA PM",PM,CATUJI,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-09-18"
"2024-046189008-001",2024,10,14,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,FATIMA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-14"
"2024-046189008-001",2024,10,14,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,FATIMA,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-14"
"2024-046185291-001",2024,10,14,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,MARAJOARA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-14"
"2024-046159146-001",2024,10,13,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,IPIRANGA,FURTO,1.0,SOLICITANTE,0,0,0,"2024-10-13"
"2024-046159146-001",2024,10,13,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,IPIRANGA,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-13"
"2024-046119930-001",2024,10,11,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,SOLICITANTE,0,0,0,"2024-10-11"
"2024-046119930-001",2024,10,11,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-11"
"2024-045969433-001",2024,10,12,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-12"
"2024-045961283-001",2024,10,12,"15 RPM","19 BPM","232 CIA PM",PM,NOVO CRUZEIRO,POVOADO DE LAMBARI,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-12"
"2024-045898363-001",2024,10,11,"15 RPM","19 BPM","232 CIA PM",PM,MALACACHETA,CENTRO,FURTO,1.0,SOLICITANTE,1,0,0,"2024-10-11"
"2024-045843019-001",2024,10,9,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,SOLICITANTE,1,0,0,"2024-10-09"
"2024-045825794-001",2024,10,11,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-11"
"2024-045820406-001",2024,10,10,"15 RPM","19 BPM","155 CIA PM",PC,OURO VERDE DE MINAS,PREFEITO GASTAO COLEN,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-10"
"2024-045819260-001",2024,10,11,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,SANTA CLARA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-11"
"2024-045807896-001",2024,10,8,"15 RPM","19 BPM","47 CIA PM",PC,TEOFILO OTONI,IPIRANGA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-08"
"2024-045800223-001",2024,10,11,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,DOUTOR LAERTE LAENDER,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-11"
"2024-045775992-001",2024,10,9,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-09"
"2024-045731412-001",2024,10,10,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,VARZEA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-10"
"2024-045723403-001",2024,10,10,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,IPIRANGA,FURTO,3.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-10"
"2024-045723403-001",2024,10,10,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,IPIRANGA,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-10"
"2024-045704398-001",2024,10,10,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-10"
"2024-045669450-001",2024,10,10,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,SAO JACINTO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-10"
"2024-045640222-001",2024,10,10,"15 RPM","19 BPM","232 CIA PM",PC,NOVO CRUZEIRO,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-10"
"2024-045580230-001",2024,10,4,"15 RPM","19 BPM","42 CIA PM",PC,TEOFILO OTONI,SAO CRISTOVAO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-04"
"2024-045483541-001",2024,9,2,"15 RPM","19 BPM","47 CIA PM",PC,TEOFILO OTONI,CENTRO,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-09-02"
"2024-045453335-001",2024,10,9,"15 RPM","19 BPM","232 CIA PM",PM,NOVO CRUZEIRO,CENTRO,FURTO,4.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-09"
